X_mean,X_std,X_max,X_min,X_sum_sq,Y_mean,Y_std,Y_max,Y_min,Y_sum_sq,Z_mean,Z_std,Z_max,Z_min,Z_sum_sq,is_accelerometer,is_gyroscope,label,motion
0.83405465,1.9218116,4.956555,-4.032893,1316.7021,0.2622089,0.9978107,2.868464,-1.624064,319.31393,-0.15479767,0.7451886,1.991101,-2.835219,173.7805,1.0,0.0,1,DANGER — Moderate Vigorous Shaking
0.45353663,1.405693,3.456931,-2.458117,654.50055,-0.04666744,1.742657,3.8376322,-3.4482079,911.70935,0.039258786,0.32981217,0.806237,-0.786595,33.095192,1.0,0.0,1,DANGER — Moderate Vigorous Shaking
0.7028591,0.5015209,1.807491,-1.9105809,223.66023,0.6089508,0.20391063,1.155584,-0.17323999,123.720184,-0.039419826,0.22094485,0.88675696,-0.69680303,15.111164,1.0,0.0,1,DANGER — Moderate Vigorous Shaking
1.3015277,3.0156882,6.5464587,-6.553413,3236.5051,-0.49549893,1.3353177,3.0007122,-3.3950162,608.57776,-0.14846343,1.1471654,3.6908052,-2.773731,401.40894,1.0,0.0,1,DANGER — Moderate Vigorous Shaking
0.56349766,0.63060105,3.050915,-2.914397,214.55618,0.70033205,0.33588448,1.807552,-0.84911996,180.98502,-0.28560933,0.18131047,0.437797,-1.318027,34.33385,1.0,0.0,1,DANGER — Moderate Vigorous Shaking
0.58975726,0.509936,2.7601628,-0.66434,182.35449,-0.5855801,0.74820495,0.52556175,-4.345827,270.81442,0.06593439,0.5819874,1.9517369,-1.9254282,102.91699,1.0,0.0,0,SAFE — Running In Pocket
0.6753135,0.5343882,3.144698,-0.38973555,222.4857,-0.7612761,0.68258923,0.6737316,-3.3804662,313.64084,-0.14372906,0.35685596,0.99197483,-1.110058,44.40126,1.0,0.0,0,SAFE — Running In Pocket
0.65163034,0.60310817,5.1806684,-0.5865459,236.50848,-0.77382946,0.7746982,0.9867743,-3.7452087,359.6908,-0.1106902,0.37597075,1.081822,-1.3529545,46.081894,1.0,0.0,0,SAFE — Running In Pocket
0.6432122,0.6582245,4.9912,-0.96302,254.09442,-0.8020958,1.0040078,1.2055035,-4.697736,495.4168,-0.0923349,0.44477424,1.5372223,-1.5468128,61.90496,1.0,0.0,0,SAFE — Running In Pocket
0.5486319,0.7501593,2.6647172,-1.3680513,259.1208,-0.8736991,1.5196426,1.616653,-6.177752,921.7992,-0.095896564,0.6659814,2.3416712,-2.4386463,135.81822,1.0,0.0,0,SAFE — Running In Pocket
0.41946068,0.5834513,2.3949003,-1.0779369,154.9088,-0.9679161,1.1532767,0.91886115,-4.8478327,680.0726,-0.011256497,0.57790816,2.3961241,-1.7018045,100.23136,1.0,0.0,0,SAFE — Running In Pocket
0.3560974,0.4555152,2.0331104,-1.3223629,100.28984,-0.98793817,0.78605765,0.31162018,-4.1808314,478.17255,0.03694534,0.4240354,2.0238256,-1.1962342,54.351295,1.0,0.0,0,SAFE — Running In Pocket
